,J1,J2,locations
0,0.4618976352126503,1.0,[36 37 37 35 37 36 36 36 37 37]
1,0.9228548162255076,0.35393392358614195,[56 49 36 36 40 29 35 31  6 42]
2,0.9282600728651159,0.3242514815214441,[ 6 42 40 26 39 32 54 50 36 36]
3,0.9258162581140398,0.35460399649652385,[36 40  6 24 36 36 60 18 39 32]
4,0.9275561797120705,0.3229765749589094,[39 29 56 49 36 36  6 24 36 41]
5,0.9258162581140398,0.35460399649652385,[ 6 24 36 36 39 32 60 18 36 40]
6,0.9258991351563793,0.3284548662925523,[39 29 36 41 37 37  6 24 56 49]
7,0.9308243647160813,0.27116523445824925,[60 19 39 28 36 36  6 41 56 49]
8,0.9320931134654183,0.29017891442785526,[44 16 36 36 39 29 56 49  6 41]
9,0.9292786882078647,0.27494967458226505,[36 36  9 38 39 29 60 19 54 50]
10,0.9387929334300812,0.12280515591010191,[ 6 24 56 49 36 41 60 19 40 28]
